date,product_id,actual_demand,fulfilled_orders,stockout_incidents
2025-10-20,P001,115,115,0
2025-10-21,P001,122,122,0
2025-10-22,P001,118,118,0
2025-10-23,P001,125,125,0
2025-10-24,P001,130,130,0
2025-10-25,P001,145,145,0
2025-10-26,P001,158,158,0
2025-10-20,P002,48,48,0
2025-10-21,P002,52,52,0
2025-10-22,P002,55,55,0
2025-10-23,P002,58,58,0
2025-10-24,P002,62,62,0
2025-10-25,P002,68,68,0
2025-10-26,P002,75,75,0
2025-10-20,P004,78,78,0
2025-10-21,P004,82,82,0
2025-10-22,P004,88,88,0
2025-10-23,P004,95,95,0
2025-10-24,P004,105,105,0
2025-10-25,P004,118,118,0
2025-10-26,P004,132,132,0

